slug,provider,actionButtons,chain,technology,txSpeedSla,throughputSla,openSource,support,supportedChains,availableApis,monitoringAndAnalytics,additionalFeatures,assetTypes,price,economicalSecurity,economicalSecurityNote,auditsPerformed,decentralizationModel,sdk,starred
chainport-optimism,!provider:chainport,"[""[Bridge](https://app.chainport.io/)"",""[Docs](https://docs.chainport.io/)""]",mainnet,Cross‑chain Bridge,NULL,NULL,TRUE,"[""Discord""]","[""ethereum"",""arbitrum"",""avalanche"",""base"",""optimism"",""linea"",""cardano"",""bnb chain"",""polygon"",""fantom"",""dogechain"",""telos"",""moonriver"",""aurora"",""conflux"",""opbnb"",""humanode"",""step"",""stratis"",""rootstock"",""iota evm"",""chillz"",""neurochainai"",""iron fish"",""argochain"",""boba""]","[""Asset Transfer""]",,"[""Fast transfer"",""Low fee (0.3%)""]","[""ETH"",""ERC‑20""]",Gas Fee + 0.3% fee,TRUE,Smart contract custody with optional insurance,,Partially Decentralized,"[""Web UI""]",FALSE
chainspot-optimism,!provider:chainspot,"[""[Bridge](https://app.chainspot.io/)"",""[Docs](https://docs.chainspot.io/)""]",mainnet,Bridge Aggregator,NULL,NULL,TRUE,"[""Discord""]","[""ethereum"",""polygon"",""bnb chain"",""arbitrum one"",""avalanche"",""fantom"",""telos"",""boba"",""optimism"",""harmony"",""moonriver"",""moonbeam"",""okxchain"",""aurora"",""evmos"",""fuse"",""cronos"",""gnosis"",""celo"",""venom testnet"",""base"",""linea"",""polygon zkevm"",""scroll"",""mantle"",""zksync"",""boba beam"",""kava"",""wanchain"",""tron"",""rootstock"",""fraxtal"",""bsquared(b2)"",""zklink"",""bahamut"",""mint"",""bevm"",""bob"",""bitlayer"",""blast"",""mode"",""taiko"",""ton""]","[""Bridge Aggregation""]",,"[""Multi‑bridge routing"",""Cross‑chain explorer""]","[""ETH"",""ERC‑20""]",Depends on selected route,TRUE,Inherits security from underlying bridges,,Aggregator,"[""Web UI""]",FALSE
connext-optimism,!provider:connext,"[""[Bridge](https://www.connext.network/)"",""[Docs](https://docs.connext.network/)""]",mainnet,Cross‑chain Messaging,NULL,NULL,TRUE,"[""Discord""]","[""ethereum"",""bnb chain"",""gnosis"",""metis"",""arbitrum"",""optimism"",""base"",""linea"",""mode""]","[""Cross‑chain Transfers"",""Liquidity Provision""]",,"[""Low fee intent-layer bridging"",""xERC‑20 tokens""]","[""ETH"",""ERC‑20""]",Gas Fee + small protocol fee,TRUE,Security inherits from canonical settlement networks,,Decentralized,"[""TypeScript SDK"",""Web UI""]",FALSE
crosscurve-optimism,!provider:crosscurve,"[""[Bridge](https://app.crosscurve.fi/)"",""[Docs](https://docs.crosscurve.fi)""]",mainnet,NFT & Token Bridge,NULL,NULL,TRUE,"[""Discord""]","[""ethereum"",""bnb chain"",""gnosis"",""metis"",""arbitrum"",""optimism"",""base"",""linea"",""mode"",""celo"",""cronos"",""fraxtal"",""ink"",""manta"",""polygon"",""taiko"",""xdc"",""avalanche"",""blast"",""corn"",""kava"",""mantle"",""morph"",""sonic"",""tron"",""unichain"",""core"",""fantom"",""hyperliquid"",""tac"",""unit-zero""]","[""NFT Transfer"",""Asset Transfer""]",,"[""NFT badge bridge"",""EYWA integration""]","[""ERC‑20"",""ERC‑721""]",Gas Fee,TRUE,Modular design with relayer fallback,,Modular,"[""Web UI""]",FALSE
debridge-optimism,!provider:debridge,"[""[Bridge](https://app.debridge.com/)"",""[Docs](https://docs.debridge.com/)""]",mainnet,Cross‑chain Messaging,NULL,NULL,TRUE,"[""Discord""]","[""ethereum"",""bnb chain"",""polygon"",""arbitrum"",""avalanche"",""solana"",""linea"",""optimism"",""base"",""tron"",""hyperevm"",""gnosis"",""sonic"",""plasma"",""abstract"",""berachain"",""story"",""neon"",""flow"",""bob"",""mantle"",""sophon"",""sei""]","[""Asset Transfer"",""Rate Guarantee""]",,"[""Deep liquidity"",""Guaranteed rates""]","[""ETH"",""ERC‑20""]",Gas Fee + small protocol fee,TRUE,Economic security via settlement networks,,Decentralized,"[""Web UI"",""SDK""]",FALSE
defiway-bridge-optimism,!provider:defiway-bridge,"[""[Bridge](https://defiway.com/bridge/)""]",mainnet,Cross‑chain Transfer,NULL,NULL,FALSE,"[""Website Form"",""Email""]","[""ethereum"",""arbitrum"",""base"",""solana"",""linea"",""optimism"",""plasma"",""polygon"",""ton"",""bnb chain"",""bitcoin"",""tron"",""scroll""]","[""Stablecoin Transfer""]",,"[""Fast transaction speeds""]","[""Stablecoins""]",Gas Fee,FALSE,"Multisig validation, liquidity pools","[""Audited by Certik""]",Decentralized,"[""Web UI""]",FALSE
hashport-optimism,!provider:hashport,"[""[Bridge](https://app.hashport.network/)"",""[Docs](https://docs.hashport.network/)""]",mainnet,Cross‑chain Asset Transfer,NULL,NULL,TRUE,"[""Discord""]","[""ethereum"",""arbitrum"",""avalanche"",""cronos"",""bnb chain"",""polygon"",""base"",""fantom"",""optimism"",""moonbeam"",""aurora""]","[""Asset Transfer""]",,"[""Secure Hedera-to-EVM bridging""]","[""ETH"",""ERC‑20""]",Gas Fee,TRUE,Multi-signature validators + Hedera consensus,,Partially Decentralized,"[""Web UI""]",FALSE
interport-optimism,!provider:interport,"[""[Bridge](https://app.interport.fi)"",""[Docs](https://docs.interport.fi)""]",mainnet,Meta‑DEX Cross‑chain Swap Bridge,NULL,NULL,TRUE,"[""Discord""]","[""ethereum"",""solana"",""arbitrum"",""bnb chain"",""blast"",""zksync"",""base"",""scroll"",""optimism"",""linea"",""manta pacific"",""polygon"",""opbnb"",""avalanche"",""eon"",""fantom"",""sui"",""aptos"",""kava"",""metis"",""mantle"",""sei"",""aurora"",""corel"",""berachain"",""inkl"",""kaia"",""iota"",""taiko"",""rari"",""flare"",""gravity"",""lightlink"",""plume"",""abstract"",""flow"",""gnosis"",""astar"",""celo"",""sonic"",""soneium"",""mind"",""hemi"",""rootstock"",""hyperevm"",""world chain"",""codex"",""unichain"",""botanix"",""tac"",""bitlayer"",""hedera"",""mode"",""ronin"",""shibarium"",""wemix"",""zircuit"",""b²"",""bob"",""xdc"",""plasma"",""og"",""corn"",""katana"",""hashkey""]","[""Cross‑chain Swap"",""Single‑chain DEX routing""]",,"[""Meta-Dex aggregation"",""Bridge-free routing""]","[""ERC‑20"",""Stablecoins""]",Swap fees,TRUE,Aggregates cross-chain messaging,"[""Audits available""]",Decentralized,"[""TypeScript""]",FALSE
mayan-optimism,!provider:mayan,"[""[Bridge](https://swap.mayan.finance/)"",""[Docs](https://docs.mayan.finance)""]",mainnet,Intent-based Cross-chain Swap Bridge,NULL,NULL,TRUE,"[""Discord""]","[""ethereum"",""bnb chain"",""base"",""linea"",""arbitrum"",""optimism"",""sui"",""unichain"",""hyperevm"",""solana"",""polygon"",""avalanche""]","[""Cross-chain Swap""]",,"[""Built on Wormhole Token Bridge"",""One-click auction swaps""]","[""ERC-20"",""Stablecoins""]",Wormhole gas + swap fee (~0.1%),TRUE,Wormhole primitives + swap auction logic,,Decentralized,"[""TypeScript""]",FALSE
meson-optimism,!provider:meson,"[""[Bridge](https://meson.fi/)""]",mainnet,Stablecoin Bridge,NULL,NULL,TRUE,"[""Discord""]","[""ancient8"",""arbitrum"",""avalanche"",""base"",""berachain"",""bitlayer"",""blast"",""bob"",""bnb chain"",""b² network"",""celo"",""cronos"",""ethereum"",""gnosis"",""hashkey chain"",""hemi"",""kava"",""linea"",""manta"",""mantle"",""merlin"",""metis"",""mode"",""moonbeam"",""morph"",""opbnb"",""optimism"",""plume"",""polygon"",""polygon zkevm"",""scroll"",""sei"",""skale europa"",""skale nebula"",""skale calypso"",""solana"",""soneium"",""starknet"",""taiko"",""tron"",""zetachain"",""zircuit"",""zksync era"",""meme core"",""exsat"",""zklink nova"",""x layer"",""conflux espace"",""sonic"",""aurora"",""kroma"",""aptos"",""sui"",""zkfair"",""map protocol"",""core"",""inevm"",""bouncebit"",""bevm"",""ailayer"",""iotex"",""ckb"",""duckchain"",""neo x"",""corn"",""taker"",""thundercore"",""rootstock"",""hyperevm"",""plasma""]","[""Stablecoin Swaps""]",,"[""USDT/USDC optimization"",""Fast settlement""]","[""USDT"",""USDC""]",Low Fee,TRUE,Secured via cryptographic proofs and liquidity partners,"[""Trail of Bits""]",Decentralized,"[""Web UI""]",FALSE
messina-optimism,!provider:messina,"[""[Bridge](https://messina.one/bridge)"",""[Docs](https://messinaone.gitbook.io/messina/)""]",mainnet,Cross‑chain Bridge via Wormhole,NULL,NULL,TRUE,"[""Discord""]","[""ethereum"",""bnb chain"",""base"",""algorand"",""arbitrum"",""optimism"",""aptos"",""polygon"",""avalanche""]","[""Asset Transfer""]",,"[""Wormhole integration"",""Liquidity pools""]","[""ETH"",""ERC‑20""]",Gas Fee,TRUE,Audited by Certik & Kudelski,"[""Certik"",""Kudelski Security""]",Partially Decentralized,"[""Web UI""]",FALSE
okutrade-optimism,!provider:okutrade,"[""[Bridge](https://oku.trade)"",""[Docs](https://docs.oku.trade/home/)""]",mainnet,Bridge & Swap Meta‑Aggregator,NULL,NULL,TRUE,"[""Discord""]","[""ethereum"",""bnb chain"",""base"",""zksync era"",""arbitrum"",""optimism"",""taiko"",""polygon"",""avalanche"",""sei"",""scroll"",""rootstock"",""filecoin"",""boba"",""telos"",""lightlink"",""saga evm"",""hemi"",""xdc"",""unichain"",""sonic"",""redbelly"",""lens"",""world chain"",""matchain"",""goat"",""mantle"",""nibiru"",""plasma"",""celo"",""etherlink"",""linea"",""bob"",""corn"",""gnosis""]","[""Cross‑chain Swap"",""Bridge Aggregation""]",,"[""DeFi aggregator across 18 EVM chains"",""Uniswap v3 trading frontend""]","[""ERC‑20"",""Stablecoins""]",Gas Fee + bridge/DEX fees,TRUE,"Aggregates best bridge/swap rates, non‑custodial routing","[""Uniswap Foundation funded, no exploit""]",Decentralized,"[""TypeScript""]",FALSE
pheasant-optimism,!provider:pheasant,"[""[Bridge](https://pheasant.network)"",""[Docs](https://docs.pheasant.network/)""]",mainnet,Intent-based Cross‑chain Bridge,NULL,NULL,TRUE,"[""Discord""]","[""arbitrum"",""ethereum"",""morph"",""optimism"",""base"",""scroll"",""unichain"",""linea"",""taiko"",""zksync era""]","[""Token Transfer via intents""]",,"[""Optimistic rollup architecture"",""Bridge-as-a-Service (BaaS)""]","[""ERC‑20"",""Stablecoins""]",Gas Fee + relayer fee,TRUE,Optimistic security with UMA-style dispute challenge,,Decentralized,"[""TypeScript""]",FALSE
routerprotocol-optimism,!provider:routerprotocol,"[""[Bridge](https://routernitro.com/swap)"",""[Docs](https://docs.routerprotocol.com/)""]",mainnet,Chain Abstraction,NULL,NULL,TRUE,"[""Discord""]","[""arbitrum one"",""ethereum"",""polygon"",""optimism"",""bnb chain"",""avalanche"",""base"",""berachain"",""bitcoin"",""hyperliquid"",""linea"",""mantle"",""router chain"",""solana"",""sonic"",""sui"",""tron"",""unichain"",""world chain""]","[""Cross‑chain Liquidity Aggregation""]",,"[""Multi‑chain routing""]","[""ETH"",""ERC‑20""]",Gas Fee + protocol fee,TRUE,Security via settlement chains,,Decentralized,"[""SDK"",""Web UI?""]",FALSE
safeswap-optimism,!provider:safeswap,"[""[Bridge](https://app.safeswap.io/)"",""[Docs](https://docs.safeswap.io/)""]",mainnet,Atomic Swap Native Token Bridge,NULL,NULL,TRUE,"[""Discord""]","[""arbitrum"",""ethereum"",""bnb chain"",""optimism"",""base"",""polygon"",""avalanche"",""vechain"",""rollux""]","[""Token Transfer""]",,"[""Atomic swaps peer-to-peer"",""No wrapped tokens""]","[""Native EVM tokens""]",Gas Fee,FALSE,"Atomic swap locks/unlocks between user wallets, no liquidity pools","[""Audit referenced on GitHub""]",Decentralized,"[""TypeScript""]",FALSE
transporter-optimism,!provider:transporter,"[""[Bridge](https://app.transporter.io/?tab=token)""]",mainnet,CCIP Cross-Chain Communication & Asset Bridge,NULL,NULL,TRUE,"[""Discord""]","[""ethereum"",""bitcoin"",""solana"",""arbitrum one"",""avalanche"",""base"",""berachain"",""blast"",""bnb chain"",""bob"",""celo"",""gnosis"",""hashkey"",""linea"",""mantle"",""metis"",""mind network"",""mode"",""optimism"",""polygon"",""ronin"",""scroll"",""sei"",""soneium"",""sonic"",""unichain"",""wemix"",""worldcoin"",""zircuit"",""zksync era""]","[""Token Transfer"",""Cross-chain Messaging""]",,"[""Powered by Chainlink CCIP"",""Enterprise-grade cross-chain integration""]","[""ERC‑20"",""Stablecoins"",""NFT""]",Gas Fee + relayer fee,TRUE,Security via Chainlink decentralized oracle network,,Decentralized,"[""TypeScript""]",FALSE
umbria-optimism,!provider:umbria,"[""[Bridge](https://bridge.umbria.network/bridge/)"",""[Docs](https://bridge.umbria.network/docs/)""]",mainnet,Intent-based Bridge,NULL,NULL,TRUE,"[""Discord""]","[""ethereum"",""bnb chain"",""polygon"",""avalanche"",""base"",""arbitrum"",""optimism"",""zksync"",""gnosis"",""fantom""]","[""Asset Transfer""]",,"[""Fast bridging"",""Low fees""]","[""ETH"",""ERC‑20""]",Gas Fee + service fee,TRUE,Relayer-based intent execution,,Partially Decentralized,"[""Web UI""]",FALSE
universalx-optimism,!provider:universalx,"[""[Site](https://universalx.app)"",""[Docs](https://universalx.app)""]",mainnet,Chain‑agnostic Trading Platform (no classical bridge),NULL,NULL,FALSE,"[""Discord""]","[""ethereum"",""arbitrum"",""polygon"",""avalanche"",""bnb chain"",""optimism"",""solana"",""base""]","[""Cross‑chain Swap"",""Token Purchase""]",,"[""Unified balance across chains"",""Pay gas with any token""]","[""USDT"",""USDC"",""ERC‑20""]",Swap/Trade fees,FALSE,"Chain abstraction, no bridge needed",,Decentralized,"[""TypeScript""]",FALSE
valuerouter-optimism,!provider:valuerouter,"[""[Bridge](https://app.valuerouter.com)"",""[Docs](https://docs.valuerouter.com/)""]",mainnet,Bridge Aggregator,NULL,NULL,TRUE,"[""Discord""]","[""ethereum"",""arbitrum"",""polygon"",""avalanche"",""cosmos"",""optimism"",""solana"",""base""]","[""Routing"",""Swap + Bridge""]",,"[""Best-route optimization"",""Multi-bridge support""]","[""ETH"",""ERC‑20""]",Gas Fee + routing fee,TRUE,Security depends on routed bridge,,,"[""Web UI""]",FALSE
wanchain-optimism,!provider:wanchain,"[""[Bridge](https://bridge.wanchain.org/AssetBridge)"",""[Docs](https://docs.wanchain.org/)""]",mainnet,Asset Bridge,NULL,NULL,TRUE,"[""Telegram"",""Email"",""Discord""]","[""ethereum"",""bnb chain"",""polygon"",""avalanche"",""astar"",""sonic"",""unichain"",""world chain"",""wanchain"",""bitcoin"",""arbitrum"",""base"",""bitrock"",""blast"",""cardano"",""celo"",""dogecoin"",""energi"",""fantom"",""kava"",""linea"",""litecoin"",""metis"",""moonbeam"",""moonriver"",""noble"",""okt chain"",""optimism"",""odyssey"",""plyr"",""polkadot"",""polygon zkevm"",""shido"",""solana"",""songbird"",""sui"",""telos"",""tron"",""vechain"",""vinuchain"",""x layer"",""xdc"",""xrp ledger"",""edexa"",""f(x) core"",""zksync era""]","[""Asset Transfer""]","[""Bridge Monitoring""]","[""Cross-chain asset bridging"",""WAN token discounts""]","[""ERC-20: USDT""]","10.2%, min. 0.2 USD, has discounts up to 80% based on WAN token holdings",TRUE,Secured via Wanchain validators and smart contracts,"[""Regular audits""]",Decentralized,"[""Node.JS SDK""]",FALSE
wormhole-optimism,!provider:wormhole,"[""[Bridge](https://portalbridge.com/)"",""[Docs](https://wormhole.com/docs/)""]",mainnet,Generic Messaging & Asset Bridge,NULL,NULL,TRUE,"[""Discord""]","[""ethereum"",""arbitrum"",""polygon"",""avalanche"",""sui"",""optimism"",""solana"",""base"",""hyperevm"",""bnb chain"",""unichain"",""celo"",""moonbeam"",""kaia"",""scroll"",""berachain"",""mezo"",""aptos"",""world chain"",""ink"",""linea"",""sonic"",""seievm"",""plume"",""xrpl evm"",""creditcoin""]","[""Asset Transfer"",""Cross-chain Messaging""]",,"[""Guardian network of validators"",""VAA attestations""]","[""ERC-20"",""OFT"",""NFT""]",Gas Fee,TRUE,Independent guardian set across ~30 chains,"[""Audits + bug bounty""]",Decentralized,"[""TypeScript""]",FALSE
xyfinance-optimism,!provider:xyfinance,"[""[Bridge](https://app.xy.finance/)"",""[Docs](https://docs.xy.finance)""]",mainnet,Cross‑chain Liquidity Router,NULL,NULL,TRUE,"[""Discord""]","[""ethereum"",""polygon"",""linea"",""base"",""bnb chain"",""cronos"",""arbitrum"",""optimism"",""astar"",""zksync era"",""polygon zkevm"",""linea"",""mantle"",""scroll"",""blast"",""x layer"",""taiko"",""cronos zkevm"",""abstract"",""berachain"",""klaytn"",""moonriver"",""thundercore"",""fantom""]","[""Liquidity Routing"",""Swaps""]",,"[""Multi-path routing"",""Token bridge + swap""]","[""ETH"",""ERC‑20""]",Gas Fee + routing fee,TRUE,Liquidity pool validation across chains,,Decentralized,"[""Web UI"",""API""]",FALSE
zkbridge-optimism,!provider:zkbridge,"[""[Bridge](https://zkbridge.com/token)"",""[Docs](https://docs.zkbridge.com/)""]",mainnet,Omnichain Messaging & OFT,NULL,NULL,TRUE,"[""Discord"",""Email""]","[""ethereum"",""polygon"",""linea"",""base"",""bnb chain"",""opbnb"",""arbitrum one"",""optimism""]","[""REST API""]","[""Custom Dashboards""]","[""Zero-Knowledge Verification""]","[""FLR"",""SGB"",""ERC-20""]",Gas Fee,TRUE,ZK-proof based security,,Decentralized,"[""TypeScript""]",FALSE
