slug,provider,actionButtons,toolType,tag,price,planType,planName,description,starred
openfort-pay-as-you-go,Openfort,"[""[Buy](https://www.openfort.io/pricing)""]",Tool,"[""Wallet Infrastructure"",""Open-source"",""Onboarding"",""Cross-app Wallet""]",$99/$249/$599/mo,Tiered,Growth/Pro/Scale,"Open-source wallet infrastructure for rapid integration of wallet functions, intuitive onboarding, and flexible user journeys for any application or ecosystem",FALSE
openfort-enterprise,Openfort,"[""[Contact](https://cal.com/joalavedra)""]",Tool,"[""Wallet Infrastructure"",""Open-source"",""Onboarding"",""Cross-app Wallet""]",Custom,Enterprise,,"Open-source wallet infrastructure for rapid integration of wallet functions, intuitive onboarding, and flexible user journeys for any application or ecosystem",FALSE
orbit-db,Orbit DB,"[""[Website](https://orbitdb.org/)""]",Database,"[""Decentralized database""]",$0,Free,,"It provides a serverless, distributed, peer-to-peer database for building decentralized applications",FALSE
oyente,Oyente,"[""[Website](https://github.com/enzymefinance/oyente)""]",Tool,"[""Identify Security Vulnerabilities""]",$0,TBD,,"It designed for Ethereum smart contracts, assisting developers and auditors in identifying potential security vulnerabilities",FALSE
paymaster,Paymaster,"[""[Docs](https://docs.cdp.coinbase.com/paymaster/introduction/welcome)""]",Tool,"[""Account Abstraction""]",Custom,TBD,,Account abstraction endpoints to send transactions and sponsor gas,FALSE
polyzoa,Polyzoa,"[""[Website](https://www.polyzoa.xyz/)""]",Security and compliance,"[""Anti-scam solutions"",""Threat Detection"",""Phishing Protection"",""Web3 Security""]",$0,TBD,,Developer tool provider in the Web3 space that offers an anti-scam security layer for blockchain infrastructure,FALSE
rarible,Rarible,"[""[Docs](https://docs.rarible.org/docs/introduction)""]",NFT,"[""Rarible SDK"",""Rarible Protocol"",""Multichain SDK"",""NFT API"",""NFT Development""]",$0,TBD,,"It simplifies building NFT applications by providing an abstraction layer over multiple blockchains, allowing developers to easily create, mint, sell, buy, transfer and query NFTs without deep blockchain specifics",FALSE
remix,Remix,"[""[Docs](https://remix-ide.readthedocs.io/)""]",IDE,"[""IDE"",""Solidity""]",$0,TBD,,Open-source online IDE for writing compiling and debugging Ethereum smart contracts,FALSE
reown,Reown,"[""[Website](https://reown.com/)"",""[Docs](https://docs.reown.com/)""]",Tool,"[""Smart Wallets"",""Social Login"",""Paymasters"",""Gas Sponsorship""]",Custom,TBD,,"Tools to build user-friendly smart wallets with social login, paymaster configuration for gas fees sponsorship and chain abstraction for seamless UX",FALSE
reservoir,Reservoir,"[""[Website](https://nft.reservoir.tools/reference/what-is-reservoir)""]",NFT,"[""NFT"",""Orderbook"",""Marketplace""]",Custom,TBD,,"Reservoir is a developer platform that lets you interact with the NFT market using a single toolkit. With the tools, you can build custom marketplaces, embed buying and selling into your app, and get distribution for your protocol's liquidity, among many other use cases",FALSE
robot-framework-solidity-testing-toolkit,Robot Framework Solidity Testing Toolkit,"[""[Website](https://github.com/jg8481/Robot-Framework-Solidity-Testing-Toolkit)""]",Tool,"[""Robotframework"",""Solidity"",""Testing"",""Smart-Contracts""]",$0,TBD,,"It provides keyword-driven automation for testing, deploying and monitoring Solidity smart contracts on EVM-compatible blockchains",FALSE
rollup-codes,Rollup.codes,"[""[Website](https://www.rollup.codes/linea)""]",Tool,"[""Ethereum Rollups"",""Analysis"",""Opcodes""]",$0,TBD,,It provides resources and data to help developers building on rollups select the optimal configurations and integrate third-party services,FALSE
rust-ethereum-abi,Rust Ethereum ABI,"[""[Website](https://github.com/rust-ethereum/ethabi)""]",Tool,"[""Rust Ethereum ABI"",""Ethereum smart contract ABI"",""Encode decode ABI Rust""]",$0,TBD,,It provides functionality for encoding and decoding data that allows external applications and other smart contracts written in Rust to interact seamlessly with smart contracts on the Ethereum blockchain and other EVM-compatible networks,FALSE
safe,Safe,"[""[Website](https://safe.global/)"",""[Docs](https://docs.safe.global/home/what-is-safe)""]",Security and compliance,"[""Modular Smart Accounts"",""Account Abstraction"",""SDK"",""API""]",Custom,TBD,,"Modular smart account infrastructure with a full account abstraction stack via Safe{Core} Account Abstraction SDK, API, and Protocol",FALSE
scaffold-eth,Scaffold ETH,"[""[Website](https://github.com/scaffold-eth/scaffold-eth-2)""]",Tool,"[""dApp development"",""Ethereum development"",""Smart contract development""]",$0,TBD,,"It streamlines the complex development process by providing a pre-configured template that integrates a local blockchain environment, smart contract development tools, and a dynamic frontend",FALSE
sign-protocol,Sign Protocol,"[""[Docs](https://docs.ethsign.xyz/)""]",Tool,"[""Blockchain signature tools"",""Smart contracts"",""Web3 identity/attestation""]",Custom,TBD,,"It offers a suite of tools and APIs for integrating blockchain-based, legally compliant document signing and data verification functionalities into other Web3 applications",FALSE
smartmuv,SmartMuv,"[""[Website](https://smartmuv.app/)""]",Tool,"[""Smart contract analysis"",""Blockchain data extraction"",""Web3 development tools""]",Custom,TBD,,"It facilitate solidity smart contract analysis, deep storage data extraction, and migration",FALSE
sprintcheckout,Sprintcheckout,"[""[Website](https://sprintcheckout.com/)""]",Tool,"[""Crypto payment gateway"",""Web3 payment tools"",""Blockchain payment solution""]",Custom,TBD,,"It provides the infrastructure and tools for developers to seamlessly incorporate modern, low-cost, and user-friendly crypto payment options into their projects",FALSE
stackup-free,Stackup,"[""[Docs](https://docs.stackup.fi/)""]",Tool,"[""Account Abstraction"",""Wallet""]",$0,TBD,,Provides smart account tooling for building account abstraction within your apps. They offer Paymaster and Bundler APIs for sponsoring gas and sending account abstraction transactions,FALSE
stackup-pay-as-you-go,Stackup,"[""[Docs](https://docs.stackup.fi/)""]",Tool,"[""Account Abstraction"",""Wallet""]",$500/mo,TBD,,Provides smart account tooling for building account abstraction within your apps. They offer Paymaster and Bundler APIs for sponsoring gas and sending account abstraction transactions,FALSE
stackup-enterprise,Stackup,"[""[Docs](https://docs.stackup.fi/)""]",Tool,"[""Account Abstraction"",""Wallet""]",Custom,TBD,,Provides smart account tooling for building account abstraction within your apps. They offer Paymaster and Bundler APIs for sponsoring gas and sending account abstraction transactions,FALSE
sublime-ethereum,Sublime-Ethereum,"[""[Website](https://github.com/davidhq/SublimeEthereum)""]",Tool,"[""Solidity""]",$0,TBD,,"It provides developers with a specialized, efficient interface for building decentralized applications and smart contracts on the blockchain",FALSE
superchain-dev-console,Superchain Dev Console,"[""[Website](https://console.optimism.io/)""]",Tool,"[""Superchain"",""OP Stack"",""Optimism"",""Layer 2""]",Custom,TBD,,"It helps developers build, test, launch and grow decentralized applications within the Superchain ecosystem",FALSE
swaps,Swaps,"[""[Website](https://www.swaps.xyz/)"",""[Docs](https://docs.swaps.xyz/)""]",Tool,"[""Blockchain development"",""Decentralized applications"",""Crypto payment gateway""]",Custom,TBD,,"It abstracts the complexities of blockchain interactions, allowing developers to integrate diverse on-chain crypto experiences into their applications more easily",FALSE
swing,Swing,"[""[Website](https://swing.xyz)""]",Tool,"[""Cross-chain"",""API"",""SDK""]",$0,TBD,,"It simplifies Web3 development by allowing other applications like dApps, wallets, exchanges to easily integrate cross-chain functionality",FALSE
tableland,Tableland,"[""[Website](https://tableland.xyz/)""]",Database,"[""Web3 Database"",""Decentralized Database"",""Blockchain Database"",""SQL on Chain"",""Onchain Data""]",Custom,TBD,,"It allows developers to store and manage structured, relational data on-chain across various EVM-compatible blockchains, including Ethereum, Polygon and Optimism",FALSE
tableland-db,Tableland,"[""[Website](https://tableland.xyz/)""]",Database,"[""Decentralized database"",""SQL database"",""SQLite""]",Custom,TBD,,"It allows developers to store, manage, and query structured data for decentralized applications using familiar SQL statements, with access control and ownership tied to the blockchain",FALSE
tenderly-sandbox,Tenderly,"[""[Docs](https://docs.tenderly.co/tenderly-sandbox)""]",IDE,"[""Smart Contract Development"", ""Solidity IDE"", ""In-browser Editor"", ""Transaction Debugging""]",Custom,TBD,,"It is a browser-based integrated development environment (IDE) for smart contracts that allows developers to write, test and debug Solidity code instantly without any local setup",FALSE
thirdweb-aa,Thirdweb,"[""[Docs](https://portal.thirdweb.com/engine/v2/features/account-abstraction)""]",Tool,"[""SDK""]",Custom,TBD,,Comprehensive solution for smart accounts with paymaster and sponsored transactions,FALSE
thirdweb-pay,Thirdweb,"[""[Docs](https://portal.thirdweb.com/pay)""]",Tool,"[""SDK""]",$0,TBD,,Fiat and cross-chain crypto payments with gas fee abstraction,FALSE
thread-db,Thread DB,"[""[Docs](https://docs.textile.io/threads/)""]",Database,"[""Decentralized database"",""P2P database""]",Custom,TBD,,"It is a multi-party,decentralized database solution built on IPFS and Libp2p that provides an alternative architecture for data on the web",FALSE
toolblox-free,Toolblox,"[""[Website](https://www.toolblox.net/)""]",Tool,"[""Software development kit"",""API development"",""Programming utility"",""Coding tools""]",$0,TBD,,"No-code platform for building, deploying and managing smart contracts and decentralized applications on various blockchain networks",FALSE
toolblox-pay-as-you-go,Toolblox,"[""[Buy](https://www.toolblox.net/Pricing)""]",Tool,"[""Software development kit"",""API development"",""Programming utility"",""Coding tools""]",$19/$42/mo/$180,TBD,,"No-code platform for building, deploying and managing smart contracts and decentralized applications on various blockchain networks",FALSE
toolblox-enterprise,Toolblox,"[""[Contact](https://www.toolblox.net/CustomSolution?a=)""]",Tool,"[""Software development kit"",""API development"",""Programming utility"",""Coding tools""]",Custom,TBD,,"No-code platform for building, deploying and managing smart contracts and decentralized applications on various blockchain networks",FALSE
triangle,Triangle,"[""[Website](https://www.triangleplatform.com/)""]",Tool,"[""Web3 Developer tools"",""Wallet Infrastructure API"",""Blockchain API"",""Embed Web3 Experiences""]",Custom,TBD,,"It is a Web3 wallet infrastructure APIs and dedicated blockchain nodes for developers, aiming to simplify blockchain technology integration into applications",FALSE
type-chain,TypeChain,"[""[Website](https://github.com/dethcrypto/TypeChain)""]",Tool,"[""TypeScript"",""Smart Contracts"",""Code Generation"",""Type Safety"",""dApp Development""]",$0,TBD,,"It provides TypeScript bindings for Ethereum smart contracts, generating a type-safe API for interacting with them in decentralized applications",FALSE
univoucher,UniVoucher,"[""[Docs](https://docs.univoucher.com/)""]",Tool,"[""Gift card"",""Payment gateway"",""Wallet integration""]",Custom,TBD,,"It offers an API and documentation that allow developers to integrate the functionality of creating and managing decentralized, tangible crypto gift cards into their own applications",FALSE
unlock-protocol,Unlock Protocol,"[""[Website](https://unlock-protocol.com/)""]",Tool,"[""Membership"",""NFT"",""Subscriptions"",""Smart Contracts""]",Custom,TBD,,"Open source smart contracts built for memberships and subscriptions NFTs including time-bound and recurring features, used for token gating and membership management",FALSE
whal3s,Whal3s,"[""[Website](https://whal3s.xyz/)""]",Tool,"[""Web3 developer platform"",""Token-gated experience"",""Blockchain integration""]",Custom,TBD,,"It helps developers and agencies integrate blockchain features into their existing applications or websites quickly and efficiently, without needing their own server infrastructure for usage data",FALSE
zerodev,ZeroDev,"[""[Docs](https://docs.zerodev.app/)""]",Tool,"[""Account Abstraction"",""Programmable Wallet"",""UI""]",Custom,TBD,,It provides a software development kit for developers to build user-friendly applications and smart wallets with advanced features,FALSE
ziion-linux-distro,Ziion Linux distro,"[""[Website](https://www.ziion.org/)""]",Security and compliance,"[""Security Testing"",""Vulnerability Assessment"",""Cybersecurity"",""Virtual Machine""]",$0,TBD,,"Functions as a specialized, pre-configured provider of developer and security tools for the blockchain and Web3 ecosystem",FALSE
